Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3955,Midnight Magic,Atari 2600,1983,Action,Atari,0.47,0.03,0,0.01,0.5
4098,Millipede,Atari 2600,1983,Shooter,Atari,0.45,0.03,0,0.01,0.48
4269,Gremlins,Atari 2600,1983,Action,Atari,0.43,0.03,0,0,0.46
4782,Pengo,Atari 2600,1983,Adventure,Atari,0.38,0.02,0,0,0.4
5384,Frostbite,Atari 2600,1983,Action,Activision,0.32,0.02,0,0,0.34
5561,Frogger II: Threeedeep!,Atari 2600,1983,Action,Parker Bros.,0.31,0.02,0,0,0.33
6009,Dolphin,Atari 2600,1983,Action,Activision,0.27,0.02,0,0,0.29
8459,Mr. Do!'s Castle,Atari 2600,1983,Action,Parker Bros.,0.15,0.01,0,0,0.17
6298,Beamrider,Atari 2600,1984,Racing,Activision,0.26,0.01,0,0,0.27
4339,Ghostbusters,Atari 2600,1985,Puzzle,Activision,0.42,0.03,0,0,0.45
5084,Solaris,Atari 2600,1986,Shooter,Atari,0.35,0.02,0,0,0.37
5958,RealSports Boxing,Atari 2600,1986,Sports,Atari,0.28,0.02,0,0,0.29
3120,Kung-Fu Master,Atari 2600,1987,Action,Activision,0.6,0.04,0,0.01,0.65
4196,Commando,Atari 2600,1987,Action,Activision,0.44,0.02,0,0,0.47
4395,Defender II,Atari 2600,1987,Shooter,Atari,0.42,0.02,0,0,0.45
6585,Desert Falcon,Atari 2600,1987,Shooter,Atari,0.24,0.01,0,0,0.26
11718,Super Football,Atari 2600,1987,Sports,Atari,0.07,0,0,0,0.08
11751,Super Baseball,Atari 2600,1987,Sports,Atari,0.07,0,0,0,0.07
3942,River Raid II,Atari 2600,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51
6941,Rampage,Atari 2600,1988,Action,Activision,0.22,0.01,0,0,0.24
4149,Double Dragon,Atari 2600,1989,Action,Activision,0.45,0.02,0,0.01,0.47
8759,Klax,Atari 2600,1989,Puzzle,Atari,0.14,0.01,0,0,0.15
608,Space Invaders,Atari 2600,N/A,Shooter,Atari,2.36,0.14,0,0.03,2.53
1515,Adventure,Atari 2600,N/A,Adventure,Atari,1.21,0.08,0,0.01,1.3
1587,Combat,Atari 2600,N/A,Action,Atari,1.17,0.07,0,0.01,1.25
2115,Air-Sea Battle,Atari 2600,N/A,Shooter,Atari,0.91,0.06,0,0.01,0.98
3882,Fishing Derby,Atari 2600,N/A,Sports,Activision,0.48,0.03,0,0.01,0.51
4153,Karate,Atari 2600,N/A,Fighting,Ultravision,0.44,0.03,0,0,0.47
4234,Circus Atari,Atari 2600,N/A,Action,Atari,0.43,0.03,0,0,0.46
4380,Maze Craze: A Game of Cops 'n Robbers,Atari 2600,N/A,Action,Atari,0.42,0.02,0,0,0.45
4471,Super Breakout,Atari 2600,N/A,Puzzle,Atari,0.41,0.03,0,0,0.44
5063,Hangman,Atari 2600,N/A,Puzzle,Atari,0.35,0.02,0,0,0.38
5659,Dragster,Atari 2600,N/A,Racing,Activision,0.3,0.02,0,0,0.32
5800,Slot Machine,Atari 2600,N/A,Action,Atari,0.29,0.02,0,0,0.31
6285,Indy 500,Atari 2600,N/A,Racing,Atari,0.26,0.01,0,0,0.27
6318,Flag Capture,Atari 2600,N/A,Action,Atari,0.25,0.02,0,0,0.27
7371,Ghostbusters II,Atari 2600,N/A,Action,Activision,0.2,0.01,0,0,0.21
7372,Breakaway IV,Atari 2600,N/A,Puzzle,Sears,0.2,0.01,0,0,0.21
8762,Home Run,Atari 2600,N/A,Sports,Atari,0.14,0.01,0,0,0.15
12637,Policenauts,3DO,1995,Adventure,Konami Digital Entertainment,0,0,0.06,0,0.06
14999,Bust-A-Move,3DO,1994,Puzzle,Micro Cabin,0,0,0.02,0,0.02
15482,Sotsugyou II: Neo Generation Special,3DO,1995,Simulation,Imageworks,0,0,0.02,0,0.02
43,Mario Kart 7,Nintendo 3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
54,Super Mario 3D Land,Nintendo 3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
269,The Legend of Zelda: Ocarina of Time,Nintendo 3DS,2011,Action,Nintendo,2.03,1.27,0.62,0.3,4.21
322,Nintendogs + cats,Nintendo 3DS,2011,Simulation,Nintendo,1.44,1.37,0.73,0.27,3.81
537,Monster Hunter Tri,Nintendo 3DS,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79
977,Professor Layton and the Mask of Miracle,Nintendo 3DS,2011,Puzzle,Nintendo,0.32,0.95,0.36,0.14,1.78
1652,Super Street Fighter IV: 3D Edition,Nintendo 3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22
1783,Pokemon Rumble Blast,Nintendo 3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14
1805,LEGO Star Wars III: The Clone Wars,Nintendo 3DS,2011,Action,LucasArts,0.61,0.43,0,0.09,1.13
2046,Sonic Generations,Nintendo 3DS,2011,Platform,Sega,0.44,0.46,0.01,0.09,1.01
2171,PilotWings Resort,Nintendo 3DS,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96
2199,Star Fox 64 3D,Nintendo 3DS,2011,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.94
2521,Tales of the Abyss,Nintendo 3DS,2011,Role-Playing,Namco Bandai Games,0.42,0.19,0.14,0.06,0.82
2692,The Sims 3,Nintendo 3DS,2011,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76
3150,Rayman 3D,Nintendo 3DS,2011,Platform,Ubisoft,0.23,0.35,0,0.06,0.64
3252,LEGO Pirates of the Caribbean: The Video Game,Nintendo 3DS,2011,Action,Disney Interactive Studios,0.29,0.28,0,0.06,0.62
3300,Cooking Mama 4: Kitchen Magic!,Nintendo 3DS,2011,Simulation,505 Games,0.5,0.07,0,0.04,0.61
3541,Skylanders: Spyro's Adventure,Nintendo 3DS,2011,Action,Activision,0.32,0.2,0,0.05,0.57
3745,Inazuma Eleven GO,Nintendo 3DS,2011,Role-Playing,Nintendo,0,0.05,0.48,0,0.54
4019,Ridge Racer 3D,Nintendo 3DS,2011,Racing,Namco Bandai Games,0.19,0.15,0.12,0.03,0.5
4022,Resident Evil: The Mercenaries 3D,Nintendo 3DS,2011,Action,Capcom,0.16,0.17,0.13,0.03,0.49
4023,Super Monkey Ball 3D,Nintendo 3DS,2011,Action,Sega,0.26,0.15,0.05,0.04,0.49
4072,Asphalt 3D,Nintendo 3DS,2011,Racing,Ubisoft,0.27,0.16,0.02,0.04,0.49
4074,Steel Diver,Nintendo 3DS,2011,Action,Nintendo,0.31,0.1,0.05,0.03,0.49
4331,Dead or Alive: Dimensions,Nintendo 3DS,2011,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,0.45
4496,Tetris Axis,Nintendo 3DS,2011,Puzzle,Tetris Online,0.2,0.13,0.06,0.03,0.43
4906,FIFA 12,Nintendo 3DS,2011,Sports,Electronic Arts,0.08,0.26,0,0.05,0.39
4926,Combat of Giants: Dinosaurs 3D,Nintendo 3DS,2011,Strategy,Ubisoft,0.25,0.06,0.05,0.03,0.39
4958,Madden NFL Football,Nintendo 3DS,2011,Sports,Electronic Arts,0.36,0.01,0,0.03,0.39
4971,Samurai Warriors Chronicles,Nintendo 3DS,2011,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39
5012,Raving Rabbids: Travel in Time 3D,Nintendo 3DS,2011,Platform,Ubisoft,0.11,0.23,0,0.04,0.38
5075,Pro Evolution Soccer 2011 3D,Nintendo 3DS,2011,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,0.38
5076,Shin Megami Tensei: Devil Survivor Overclocked,Nintendo 3DS,2011,Role-Playing,Ghostlight,0.28,0.01,0.06,0.02,0.38
5399,Tom Clancy's Ghost Recon: Shadow Wars,Nintendo 3DS,2011,Strategy,Ubisoft,0.22,0.09,0,0.03,0.34
5717,Bust-A-Move Universe,Nintendo 3DS,2011,Puzzle,Square Enix,0.08,0.15,0.06,0.03,0.31
5873,Tom Clancy's Splinter Cell 3D,Nintendo 3DS,2011,Action,Ubisoft,0.14,0.07,0.07,0.02,0.3
5895,One Piece Unlimited Cruise SP,Nintendo 3DS,2011,Action,Namco Bandai Games,0,0,0.3,0,0.3
6628,Zoo Resort 3D,Nintendo 3DS,2011,Simulation,Ubisoft,0.11,0.09,0.03,0.02,0.25
6802,Ace Combat: Assault Horizon Legacy,Nintendo 3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24
7071,WWE All Stars,Nintendo 3DS,2011,Fighting,THQ,0.15,0.06,0,0.02,0.23
7075,Wipeout 2,Nintendo 3DS,2011,Misc,Activision,0.22,0,0,0.01,0.23
7133,Cars 2,Nintendo 3DS,2011,Racing,Disney Interactive Studios,0.21,0,0,0.02,0.23
7197,Shinobi,Nintendo 3DS,2011,Platform,Sega,0.14,0.07,0,0.02,0.22
7329,Transformers: Dark of the Moon,Nintendo 3DS,2011,Action,Activision,0.16,0.04,0,0.02,0.21
7513,Frogger 3D,Nintendo 3DS,2011,Action,Konami Digital Entertainment,0.16,0.03,0,0.01,0.2
7772,Pac-Man & Galaga Dimensions,Nintendo 3DS,2011,Misc,Namco Bandai Games,0.1,0.04,0.04,0.01,0.19
7804,Need for Speed: The Run,Nintendo 3DS,2011,Action,Electronic Arts,0.09,0.09,0,0.02,0.19
7851,SpongeBob SquigglePants 3D,Nintendo 3DS,2011,Misc,THQ,0.13,0.05,0,0.02,0.19
7915,NASCAR Unleashed,Nintendo 3DS,2011,Racing,Activision,0.18,0,0,0.01,0.19
7960,Reel Fishing Paradise 3D,Nintendo 3DS,2011,Sports,Marvelous Interactive,0.12,0,0.06,0.01,0.19
8391,Michael Jackson: The Experience 3D,Nintendo 3DS,2011,Misc,Ubisoft,0.13,0.03,0,0.01,0.17
8482,F1 2011,Nintendo 3DS,2011,Racing,Codemasters,0.07,0.08,0,0.02,0.16
8509,Doctor Lautrec and the Forgotten Knights,Nintendo 3DS,2011,Adventure,Konami Digital Entertainment,0.07,0.05,0.03,0.01,0.16
8532,SD Gundam G Generation 3D,Nintendo 3DS,2011,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16
8706,Senran Kagura: Sh?jo-tachi no Shinei,Nintendo 3DS,2011,Action,Marvelous Interactive,0,0,0.16,0,0.16
8731,James Noir's Hollywood Crimes,Nintendo 3DS,2011,Adventure,Ubisoft,0.07,0.07,0,0.02,0.15
8764,The Adventures of Tintin: The Game,Nintendo 3DS,2011,Action,Ubisoft,0.05,0.09,0,0.02,0.15
8965,Pac-Man Party 3D,Nintendo 3DS,2011,Misc,Namco Bandai Games,0.09,0.04,0,0.01,0.15
9063,Cave Story 3D,Nintendo 3DS,2011,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,0.14
9274,BIT.TRIP SAGA,Nintendo 3DS,2011,Misc,Rising Star Games,0.09,0.04,0,0.01,0.14
9366,Ben 10 Galactic Racing,Nintendo 3DS,2011,Racing,D3Publisher,0.07,0.06,0,0.01,0.13
9447,Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,Nintendo 3DS,2011,Role-Playing,Square Enix,0,0,0.13,0,0.13
9469,The Oregon Trail,Nintendo 3DS,2011,Simulation,Crave Entertainment,0.12,0,0,0.01,0.13
9522,Imagine: Fashion Designer,Nintendo 3DS,2011,Simulation,Ubisoft,0.1,0.02,0,0.01,0.13
9536,Puyo Puyo!! 20th Anniversary,Nintendo 3DS,2011,Puzzle,Sega,0,0,0.13,0,0.13
9542,Green Lantern: Rise of the Manhunters,Nintendo 3DS,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0,0.01,0.13
9546,Puppies 3D,Nintendo 3DS,2011,Misc,Ubisoft,0.08,0.04,0,0.01,0.13
9862,DreamWorks Super Star Kartz,Nintendo 3DS,2011,Racing,Activision,0.08,0.03,0,0.01,0.12
9898,Deca Sports Extreme,Nintendo 3DS,2011,Sports,Hudson Soft,0.08,0,0.03,0.01,0.12
9923,Jaws: Ultimate Predator,Nintendo 3DS,2011,Action,Majesco Entertainment,0.11,0,0,0.01,0.12
9933,Spider-Man: Edge of Time,Nintendo 3DS,2011,Action,Activision,0.08,0.03,0,0.01,0.12
9984,Brunswick Pro Bowling,Nintendo 3DS,2011,Sports,Crave Entertainment,0.11,0,0,0.01,0.12
10161,Happy Feet Two,Nintendo 3DS,2011,Action,Warner Bros. Interactive Entertainment,0.08,0.02,0,0.01,0.11
10179,NCIS 3D,Nintendo 3DS,2011,Adventure,Ubisoft,0.06,0.04,0,0.01,0.11
10186,DualPenSports,Nintendo 3DS,2011,Sports,Namco Bandai Games,0.05,0.05,0,0.01,0.11
10240,Gabrielle's Ghostly Groove 3D,Nintendo 3DS,2011,Adventure,Funbox Media,0.08,0.02,0,0.01,0.11
10358,BlazBlue: Continuum Shift II,Nintendo 3DS,2011,Fighting,PQube,0.05,0.01,0.04,0.01,0.11
10362,Naruto Shippuden 3D: The New Era,Nintendo 3DS,2011,Action,505 Games,0,0.04,0.06,0.01,0.11
10663,Marvel Super Hero Squad: The Infinity Gauntlet,Nintendo 3DS,2011,Action,THQ,0.07,0.02,0,0.01,0.1
10689,Generator Rex: Agent of Providence,Nintendo 3DS,2011,Action,Activision,0.07,0.02,0,0.01,0.1
10730,Cubic Ninja,Nintendo 3DS,2011,Platform,Ubisoft,0.05,0.04,0,0.01,0.1
10734,Pinball Hall of Fame: The Williams Collection,Nintendo 3DS,2011,Misc,Crave Entertainment,0.09,0,0,0.01,0.1
10739,Thor: God of Thunder,Nintendo 3DS,2011,Action,Sega,0.06,0.03,0,0.01,0.1
10805,Cartoon Network: Punch Time Explosion,Nintendo 3DS,2011,Fighting,Deep Silver,0.07,0.02,0,0.01,0.1
10983,Driver: Renegade,Nintendo 3DS,2011,Racing,Ubisoft,0.05,0.04,0,0.01,0.09
11044,Carnival Games: Wild West 3D,Nintendo 3DS,2011,Misc,Take-Two Interactive,0.06,0.02,0,0.01,0.09
11141,Mahjong Cub3D,Nintendo 3DS,2011,Puzzle,Sunsoft,0.07,0,0.02,0,0.09
11317,Captain America: Super Soldier,Nintendo 3DS,2011,Action,Sega,0.05,0.02,0,0.01,0.08
11340,Nano Assault,Nintendo 3DS,2011,Shooter,Majesco Entertainment,0.08,0,0,0.01,0.08
11349,Nikoli's Pencil Puzzle,Nintendo 3DS,2011,Puzzle,Hudson Soft,0.05,0.03,0,0.01,0.08
11360,Gundam the 3D Battle,Nintendo 3DS,2011,Action,Namco Bandai Games,0,0,0.08,0,0.08
11524,Puzzler Mind Gym 3D,Nintendo 3DS,2011,Puzzle,Ubisoft,0.07,0,0,0,0.08
11875,Petz Fantasy 3D,Nintendo 3DS,2011,Simulation,Ubisoft,0.07,0,0,0,0.07
11932,"Horrid Henry: The Good, The Bad and The Bugly",Nintendo 3DS,2011,Platform,Asylum Entertainment,0,0.06,0,0.01,0.07
11973,Pro Yaky? Spirits 2011,Nintendo 3DS,2011,Sports,Konami Digital Entertainment,0,0,0.07,0,0.07
12443,Nicola Kanshuu: Model * Oshare Audition 2,Nintendo 3DS,2011,Action,Alchemist,0,0,0.06,0,0.06
12785,Yuugen Gaisha Brave Company,Nintendo 3DS,2011,Strategy,Namco Bandai Games,0,0,0.06,0,0.06
12787,Ken to Mahou to Gakuen Mono. 3D,Nintendo 3DS,2011,Role-Playing,Acquire,0,0,0.06,0,0.06
12810,Pro Yakyuu Famista 2011,Nintendo 3DS,2011,Sports,Namco Bandai Games,0,0,0.06,0,0.06
13399,Mahjong 3D: Warriors of the Emperor,Nintendo 3DS,2011,Misc,DTP Entertainment,0,0.04,0,0.01,0.05
13407,Centipede: Infestation,Nintendo 3DS,2011,Shooter,Atari,0.04,0,0,0,0.05
13435,Nazo Waku Yakata: Oto no Ma ni Ma ni,Nintendo 3DS,2011,Misc,Capcom,0,0,0.05,0,0.05
13538,Gem Smashers,Nintendo 3DS,2011,Platform,Crave Entertainment,0.04,0,0,0,0.04
13584,Riding Stables: The Whitakers present Milton and Friends,Nintendo 3DS,2011,Sports,DTP Entertainment,0,0.04,0,0,0.04
13619,Hana to Ikimo no Rittai Zukan,Nintendo 3DS,2011,Misc,Nintendo,0,0,0.04,0,0.04
13729,Unchained Blades,Nintendo 3DS,2011,Role-Playing,FuRyu,0,0,0.04,0,0.04
14101,FabStyle,Nintendo 3DS,2011,Strategy,Tecmo Koei,0,0,0.03,0,0.03
14231,Angler's Club: Ultimate Bass Fishing 3D,Nintendo 3DS,2011,Sports,D3Publisher,0,0.03,0,0,0.03
14750,Pro Evolution Soccer 2012,Nintendo 3DS,2011,Action,Konami Digital Entertainment,0.02,0,0,0,0.03
15282,Heavy Fire: The Chosen Few 3D,Nintendo 3DS,2011,Shooter,Mastiff,0.02,0,0,0,0.02
15395,Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!,Nintendo 3DS,2011,Action,Namco Bandai Games,0,0,0.02,0,0.02
15882,PachiPara 3D,Nintendo 3DS,2011,Misc,Irem Software Engineering,0,0,0.02,0,0.02
16126,Nintendogs and Cats Golden Retriever and New Friends,Nintendo 3DS,2011,Action,Nintendo,0,0.01,0,0,0.01
16170,Order Up!!,Nintendo 3DS,2011,Action,Funbox Media,0,0.01,0,0,0.01
16465,Outdoors Unleashed: Alaska 3D,Nintendo 3DS,2011,Sports,Mastiff,0.01,0,0,0,0.01
16581,Outdoors Unleashed: Africa 3D,Nintendo 3DS,2011,Sports,Mastiff,0.01,0,0,0,0.01
65,New Super Mario Bros. 2,Nintendo 3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
74,Animal Crossing: New Leaf,Nintendo 3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
707,Paper Mario: Sticker Star,Nintendo 3DS,2012,Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27
849,Fire Emblem: Awakening,Nintendo 3DS,2012,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2
1178,Kingdom Hearts 3D: Dream Drop Distance,Nintendo 3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.09,1.58
1404,Bravely Default: Flying Fairy,Nintendo 3DS,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.07,1.38
1550,Kid Icarus: Uprising,Nintendo 3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.28
1557,Pokemon Mystery Dungeon: Gates to Infinity,Nintendo 3DS,2012,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27
1694,Mario & Sonic at the London 2012 Olympic Games,Nintendo 3DS,2012,Sports,Sega,0.18,0.64,0.27,0.1,1.19
1808,Fantasy Life,Nintendo 3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13
